"","Well","Time","Count","nl2","Cell.Line","l2","Row","Column","Conc","Units","Date","Treatment"
"1140","B02",0,99,0,"WM164",6.62935662007961,"B","02",0,"Molar","20150314","PLX4720"
"6118","B02",19.2858333333333,132,0.415037499278844,"WM164",7.04439411935845,"B","02",0,"Molar","20150314","PLX4720"
"12118","B02",42.38,218,1.13882770469732,"WM164",7.76818432477693,"B","02",0,"Molar","20150314","PLX4720"
"18113","B02",48.6958333333333,242,1.28950661719499,"WM164",7.91886323727459,"B","02",0,"Molar","20150314","PLX4720"
"24110","B02",62.1475,327,1.72379020541847,"WM164",8.35314682549808,"B","02",0,"Molar","20150314","PLX4720"
"30110","B02",68.5708333333333,381,1.94429056741371,"WM164",8.57364718749332,"B","02",0,"Molar","20150314","PLX4720"
"36110","B02",84.0633333333333,554,2.48438554596958,"WM164",9.11374216604919,"B","02",0,"Molar","20150314","PLX4720"
"4217","B02",97.6188888888889,701,2.82391401393101,"WM164",9.45327063401062,"B","02",0,"Molar","20150314","PLX4720"
"4817","B02",113.609166666667,1111,3.48828648130948,"WM164",10.1176431013891,"B","02",0,"Molar","20150314","PLX4720"
"2180","B03",0,108,0,"WM164",6.75488750216347,"B","03",1.2e-07,"Molar","20150314","PLX4720"
"6214","B03",19.2858333333333,183,0.760812336120575,"WM164",7.51569983828404,"B","03",1.2e-07,"Molar","20150314","PLX4720"
"12216","B03",42.38,286,1.40498383461492,"WM164",8.15987133677839,"B","03",1.2e-07,"Molar","20150314","PLX4720"
"18213","B03",48.6958333333333,345,1.67556504950206,"WM164",8.43045255166553,"B","03",1.2e-07,"Molar","20150314","PLX4720"
"24210","B03",62.1475,519,2.26470322619441,"WM164",9.01959072835788,"B","03",1.2e-07,"Molar","20150314","PLX4720"
"30210","B03",68.5708333333333,639,2.56478461878353,"WM164",9.319672120947,"B","03",1.2e-07,"Molar","20150314","PLX4720"
"36210","B03",84.0633333333333,1001,3.21233875667252,"WM164",9.96722625883599,"B","03",1.2e-07,"Molar","20150314","PLX4720"
"42210","B03",97.6188888888889,1468,3.76474875067975,"WM164",10.5196362528432,"B","03",1.2e-07,"Molar","20150314","PLX4720"
"48210","B03",113.609166666667,2253,4.38274409607196,"WM164",11.1376315982354,"B","03",1.2e-07,"Molar","20150314","PLX4720"
"3170","B04",0,93,0,"WM164",6.53915881110803,"B","04",2.5e-07,"Molar","20150314","PLX4720"
"6314","B04",19.2858333333333,143,0.620712525670358,"WM164",7.15987133677839,"B","04",2.5e-07,"Molar","20150314","PLX4720"
"12316","B04",42.38,208,1.16128090703306,"WM164",7.70043971814109,"B","04",2.5e-07,"Molar","20150314","PLX4720"
"18312","B04",48.6958333333333,233,1.32502733354625,"WM164",7.86418614465428,"B","04",2.5e-07,"Molar","20150314","PLX4720"
"24310","B04",62.1475,292,1.65066574777199,"WM164",8.18982455888002,"B","04",2.5e-07,"Molar","20150314","PLX4720"
"30310","B04",68.5708333333333,377,2.01926190216063,"WM164",8.55842071326866,"B","04",2.5e-07,"Molar","20150314","PLX4720"
"36310","B04",84.0633333333333,511,2.45802066982959,"WM164",8.99717948093762,"B","04",2.5e-07,"Molar","20150314","PLX4720"
"42310","B04",97.6188888888889,797,3.09927710288244,"WM164",9.63843591399047,"B","04",2.5e-07,"Molar","20150314","PLX4720"
"48310","B04",113.609166666667,1095,3.5575563433805,"WM164",10.0967151544885,"B","04",2.5e-07,"Molar","20150314","PLX4720"
"4270","B05",0,124,0,"WM164",6.95419631038687,"B","05",5e-07,"Molar","20150314","PLX4720"
"6414","B05",19.2858333333333,188,0.600392541290763,"WM164",7.55458885167764,"B","05",5e-07,"Molar","20150314","PLX4720"
"12416","B05",42.38,239,0.946670497593874,"WM164",7.90086680798075,"B","05",5e-07,"Molar","20150314","PLX4720"
"18412","B05",48.6958333333333,246,0.988318194952365,"WM164",7.94251450533924,"B","05",5e-07,"Molar","20150314","PLX4720"
"24410","B05",62.1475,323,1.38119404430705,"WM164",8.33539035469392,"B","05",5e-07,"Molar","20150314","PLX4720"
"30410","B05",68.5708333333333,352,1.50523530825042,"WM164",8.4594316186373,"B","05",5e-07,"Molar","20150314","PLX4720"
"36410","B05",84.0633333333333,441,1.83043853517065,"WM164",8.78463484555752,"B","05",5e-07,"Molar","20150314","PLX4720"
"42410","B05",97.6188888888889,548,2.14383577257365,"WM164",9.09803208296053,"B","05",5e-07,"Molar","20150314","PLX4720"
"48410","B05",113.609166666667,688,2.47206844431522,"WM164",9.4262647547021,"B","05",5e-07,"Molar","20150314","PLX4720"
"5170","B06",0,133,0,"WM164",7.05528243550119,"B","06",1e-06,"Molar","20150314","PLX4720"
"6514","B06",19.2858333333333,200,0.588573754273535,"WM164",7.64385618977472,"B","06",1e-06,"Molar","20150314","PLX4720"
"12516","B06",42.38,239,0.845584372479559,"WM164",7.90086680798075,"B","06",1e-06,"Molar","20150314","PLX4720"
"18512","B06",48.6958333333333,243,0.869530068104591,"WM164",7.92481250360578,"B","06",1e-06,"Molar","20150314","PLX4720"
"24510","B06",62.1475,279,1.068838876328,"WM164",8.12412131182919,"B","06",1e-06,"Molar","20150314","PLX4720"
"30510","B06",68.5708333333333,293,1.13947441892106,"WM164",8.19475685442225,"B","06",1e-06,"Molar","20150314","PLX4720"
"36510","B06",84.0633333333333,350,1.39592867633114,"WM164",8.45121111183233,"B","06",1e-06,"Molar","20150314","PLX4720"
"42510","B06",97.6188888888889,429,1.68955140199836,"WM164",8.74483383749955,"B","06",1e-06,"Molar","20150314","PLX4720"
"48510","B06",113.609166666667,491,1.8842967788135,"WM164",8.93957921431469,"B","06",1e-06,"Molar","20150314","PLX4720"
